epochs,embed_dim,model,test_word,similar_word,similarity_score
3,300,Skip-gram,woman,man,0.6564
3,300,Skip-gram,woman,girl,0.6537
3,300,Skip-gram,woman,boy,0.5968
3,300,Skip-gram,woman,teenager,0.5591
3,300,Skip-gram,woman,toddler,0.5471
3,300,Skip-gram,computer,computers,0.6166
3,300,Skip-gram,computer,laptop,0.582
3,300,Skip-gram,computer,spyware,0.564
3,300,Skip-gram,computer,software,0.5541
3,300,Skip-gram,computer,coding,0.5257
3,300,Skip-gram,science,neuroscience,0.6322
3,300,Skip-gram,science,mathematics,0.6002
3,300,Skip-gram,science,biology,0.5921
3,300,Skip-gram,science,physics,0.5872
3,300,Skip-gram,science,geology,0.5733
3,300,Skip-gram,university,universitys,0.7396
3,300,Skip-gram,university,univeristy,0.6592
3,300,Skip-gram,university,sociology,0.6266
3,300,Skip-gram,university,yale,0.6172
3,300,Skip-gram,university,univesity,0.6145
3,300,Skip-gram,student,graduate,0.5826
3,300,Skip-gram,student,undergraduate,0.5418
3,300,Skip-gram,student,teacher,0.5038
3,300,Skip-gram,student,postgraduate,0.498
3,300,Skip-gram,student,straighta,0.498
3,300,CBOW,king,kings,0.426
3,300,CBOW,king,alaskar,0.4203
3,300,CBOW,king,innout,0.4119
3,300,CBOW,king,dymally,0.4096
3,300,CBOW,king,vandross,0.4041
3,300,CBOW,queen,princess,0.5821
3,300,CBOW,queen,debicki,0.5179
3,300,CBOW,queen,minchilli,0.5136
3,300,CBOW,queen,khangreig,0.4898
3,300,CBOW,queen,dilts,0.4802
3,300,CBOW,man,woman,0.788
3,300,CBOW,man,teenager,0.7218
3,300,CBOW,man,policeman,0.6501
3,300,CBOW,man,person,0.6373
3,300,CBOW,man,attacker,0.6018
3,300,CBOW,woman,man,0.788
3,300,CBOW,woman,teenager,0.7627
3,300,CBOW,woman,girl,0.7309
3,300,CBOW,woman,toddler,0.6546
3,300,CBOW,woman,boy,0.6448
3,300,CBOW,computer,computers,0.7167
3,300,CBOW,computer,software,0.6094
3,300,CBOW,computer,laptop,0.5486
3,300,CBOW,computer,servers,0.5329
3,300,CBOW,computer,malware,0.5257
3,300,CBOW,science,mathematics,0.6231
3,300,CBOW,science,psychology,0.6069
3,300,CBOW,science,physics,0.5956
3,300,CBOW,science,neuroscience,0.583
3,300,CBOW,science,biology,0.5562
3,300,CBOW,university,universitys,0.8134
3,300,CBOW,university,college,0.5911
3,300,CBOW,university,universityled,0.5908
3,300,CBOW,university,undergraduate,0.5652
3,300,CBOW,university,sociology,0.5592
3,300,CBOW,student,graduate,0.6185
3,300,CBOW,student,students,0.6063
3,300,CBOW,student,undergraduates,0.6032
3,300,CBOW,student,undergraduate,0.592
3,300,CBOW,student,teacher,0.5833
3,600,Skip-gram,king,revmartin,0.4592
3,600,Skip-gram,king,vi,0.425
3,600,Skip-gram,king,lothbury,0.425
3,600,Skip-gram,king,letsie,0.3969
3,600,Skip-gram,king,uncrowned,0.3846
3,600,Skip-gram,queen,princess,0.5607
3,600,Skip-gram,queen,majesty,0.542
3,600,Skip-gram,queen,elizabeth,0.5121
3,600,Skip-gram,queen,monarch,0.4985
3,600,Skip-gram,queen,hrh,0.4956
3,600,Skip-gram,man,woman,0.7191
3,600,Skip-gram,man,boy,0.5793
3,600,Skip-gram,man,teenager,0.5337
3,600,Skip-gram,man,girl,0.5111
3,600,Skip-gram,man,bloke,0.483
3,600,Skip-gram,woman,man,0.7191
3,600,Skip-gram,woman,girl,0.6353
3,600,Skip-gram,woman,teenager,0.5834
3,600,Skip-gram,woman,boy,0.5436
3,600,Skip-gram,woman,person,0.5352
3,600,Skip-gram,computer,computers,0.6645
3,600,Skip-gram,computer,laptop,0.5852
3,600,Skip-gram,computer,software,0.5371
3,600,Skip-gram,computer,desktop,0.493
3,600,Skip-gram,computer,keylogging,0.4594
3,600,Skip-gram,science,mathematics,0.5953
3,600,Skip-gram,science,physics,0.5661
3,600,Skip-gram,science,biology,0.5417
3,600,Skip-gram,science,sciences,0.5363
3,600,Skip-gram,science,astronomy,0.5354
3,600,Skip-gram,university,universitys,0.7269
3,600,Skip-gram,university,univeristy,0.6214
3,600,Skip-gram,university,professor,0.5786
3,600,Skip-gram,university,sociology,0.5686
3,600,Skip-gram,university,college,0.5485
3,600,Skip-gram,student,graduate,0.5313
3,600,Skip-gram,student,students,0.5286
3,600,Skip-gram,student,undergraduate,0.488
3,600,Skip-gram,student,teacher,0.4817
3,600,Skip-gram,student,undergraduates,0.4698
3,600,CBOW,king,kings,0.405
3,600,CBOW,king,innout,0.3977
3,600,CBOW,king,monarch,0.3665
3,600,CBOW,king,vandross,0.3569
3,600,CBOW,king,queen,0.3538
3,600,CBOW,queen,princess,0.4691
3,600,CBOW,queen,khangreig,0.3952
3,600,CBOW,queen,monarch,0.3853
3,600,CBOW,queen,majesty,0.3838
